unified_mlo,spatial_location,spatial_location_evidence,taxonomic_scope,taxonomic_support_n,physiological_state,cell_type_context
NotInformed,unspecified,hand_assigned,pan_Metazoa,929,constitutive,
abc_transporter_condensate,plasma_membrane,hand_assigned,Bacteria,2,constitutive,
abscission_checkpoint_body,nucleus,from_category,Metazoa,3,constitutive,
actin_cortical_patch,cytoskeleton,from_category,Metazoa,5,constitutive,
aggresome,cytoplasm,from_category,Bacteria,6,stress_induced,
alpha_synuclein_condensate,cytoplasm,hand_assigned,Metazoa,6,pathological,neuron
amyloid_aggregate,cytoplasm,from_category,Fungi,1,pathological,
amyloid_body,nucleus,from_category,Metazoa,2,stress_induced,
anisosome,nucleus,from_category,Metazoa,6,stress_induced,
ankle_link_condensate,plasma_membrane,from_category,Metazoa,8,constitutive,hair_cell
antiviral_condensate,cytoplasm,from_category,Viridiplantae,1,infection,
assemblysome,nucleus,from_category,pan_Fungi+Metazoa,4,constitutive,
axonal_tiar2_granule,cytoplasm,hand_assigned,Metazoa,1,constitutive,neuron
bacterial_polarity_condensate,plasma_membrane,hand_assigned,Bacteria,9,constitutive,
bacterial_rnp_body,cytoplasm,hand_assigned,Bacteria,16,constitutive,
bag2_condensate,cytoplasm,from_category,Metazoa,1,constitutive,
balbiani_body,cytoplasm,hand_assigned,Metazoa,847,constitutive,germline
baz2a_body,nucleus,from_category,Metazoa,1,constitutive,
cajal_body,nucleus,from_category,Metazoa,237,constitutive,
carboxysome,cytoplasm,hand_assigned,Bacteria,5,constitutive,
cell_polarity_condensate,cytoplasm,hand_assigned,Metazoa,7,constitutive,neuron
centrosome,cytoskeleton,from_category,Metazoa,998,constitutive,
cgas_dna_complex,cytoplasm,from_category,Metazoa,4,constitutive,
chaperone_condensate,cytoplasm,from_category,Protista,1,constitutive,
chloroplast_stress_granule,plastid,from_category,Viridiplantae,79,stress_induced,
chromatin_compartment,nucleus,from_category,Metazoa,5,constitutive,
chromatoid_body,cytoplasm,hand_assigned,Metazoa,114,constitutive,germline
chromogranin_condensate,cytoplasm,from_category,Metazoa,4,constitutive,chromaffin_cell
cleavage_body,nucleus,from_category,Metazoa,3,constitutive,
cojusome,cytoplasm,from_category,Protista,1,constitutive,
contractile_ring,cytoskeleton,from_category,Fungi,1,constitutive,
cortical_condensate,plasma_membrane,from_category,Metazoa,1,constitutive,
cytoplasmic_nucleoporin_granule,nucleus,from_category,Metazoa,3,constitutive,
cytoplasmic_protein_granule,cytoplasm,from_category,pan_Fungi+Metazoa,18,constitutive,
cytoplasmic_rnp_granule,cytoplasm,from_category,Metazoa,65,constitutive,
d_granule,cytoplasm,from_category,Metazoa,1,constitutive,
ddx1_body,nucleus,from_category,Metazoa,2,constitutive,
degradosome,cytoplasm,hand_assigned,Bacteria,12,constitutive,
dna_damage_foci,nucleus,from_category,Metazoa,63,stress_induced,
dps_condensate,cytoplasm,hand_assigned,Bacteria,1,constitutive,
elastin_granule,extracellular,from_category,Metazoa,1,constitutive,fibroblast
elks_condensate,plasma_membrane,hand_assigned,Metazoa,1,constitutive,neuron
elva,nucleus,from_category,Metazoa,13,constitutive,
endocytic_condensate,plasma_membrane,from_category,Fungi,12,constitutive,
enhanceosome,nucleus,from_category,Metazoa,4,constitutive,
enhancer_condensate,nucleus,from_category,Metazoa,9,constitutive,
eres_condensate,cytoplasm,from_category,Metazoa,10,constitutive,
escrt_condensate,plasma_membrane,from_category,Fungi,1,constitutive,
exosomal_condensate,extracellular,from_category,Metazoa,2,constitutive,
ferritin_condensate,cytoplasm,from_category,Metazoa,3,constitutive,
fip200_puncta,cytoplasm,hand_assigned,Metazoa,2,constitutive,
frq_condensate,cytoplasm,from_category,Fungi,1,constitutive,
ftsz_droplet,plasma_membrane,hand_assigned,Bacteria,2,constitutive,
fusion_focus,cytoskeleton,from_category,Fungi,1,constitutive,
galectin_condensate,plasma_membrane,from_category,Metazoa,1,constitutive,
galectin_lattice,plasma_membrane,from_category,Metazoa,1,constitutive,
gbpl_condensate,nucleus,hand_assigned,Viridiplantae,1,constitutive,
gem,nucleus,from_category,Metazoa,13,constitutive,
germ_plasm,cytoplasm,hand_assigned,Metazoa,8,constitutive,germline
glycolytic_body,cytoplasm,from_category,pan_Fungi+Metazoa,9,constitutive,
golgin_condensate,cytoplasm,from_category,Metazoa,7,constitutive,
haemoglobin_body,cytoplasm,from_category,Metazoa,2,constitutive,erythroid
heterochromatin,nucleus,from_category,pan_Metazoa,42,constitutive,
hippo_condensate,plasma_membrane,from_category,Metazoa,16,constitutive,
histone_locus_body,nucleus,from_category,Metazoa,28,constitutive,
hyperosmotic_shock_foci,cytoplasm,from_category,Fungi,18,stress_induced,
icp22_condensate,nucleus,hand_assigned,Virus,2,infection,
in_vitro_droplet,in_vitro,hand_assigned,pan_Metazoa,438,in_vitro,
inava_condensate,cytoplasm,from_category,Metazoa,1,constitutive,
inclusion_body,cytoplasm,hand_assigned,pan_Metazoa+Virus,68,pathological,
inflammasome,cytoplasm,from_category,Metazoa,2,constitutive,
inq_compartment,nucleus,from_category,Fungi,1,stress_induced,
insulator_body,nucleus,from_category,Metazoa,13,constitutive,
integrin_adhesion_complex,plasma_membrane,from_category,Metazoa,6,constitutive,
intracellular_dna_protein_granule,cytoplasm,from_category,Metazoa,1,constitutive,
kat6a_condensate,nucleus,from_category,Metazoa,1,constitutive,
l_body,cytoplasm,hand_assigned,Metazoa,76,constitutive,germline
liquid_dyrk3_speckle,nucleus,hand_assigned,Metazoa,1,constitutive,
mardo,cytoplasm,hand_assigned,Metazoa,7,constitutive,germline
mast_cell_granule,cytoplasm,hand_assigned,Metazoa,529,constitutive,mast_cell
maternal_mrna_condensate,cytoplasm,hand_assigned,Metazoa,2,constitutive,germline
mcd_condensate,cytoplasm,hand_assigned,Bacteria,2,constitutive,
mediator_condensate,nucleus,from_category,Metazoa,6,constitutive,
mesh_condensate,cytoplasm,from_category,Metazoa,3,constitutive,
midbody_granule,cytoskeleton,hand_assigned,Metazoa,7,constitutive,
mirisc,cytoplasm,from_category,Metazoa,2,constitutive,
mitochondrial_nucleoid,mitochondrion,from_category,Metazoa,6,constitutive,
mitochondrial_rna_granule,mitochondrion,from_category,Metazoa,44,constitutive,
morc3_nuclear_body,nucleus,from_category,Metazoa,1,constitutive,
